iso_code,country,year,sex,age_group,suicide_rate
RUS,Russia,2000,both,ALL,53.05820987
RUS,Russia,2001,both,ALL,51.79269343
RUS,Russia,2002,both,ALL,50.71784088
LTU,Lithuania,2000,both,ALL,50.40488011
RUS,Russia,2003,both,ALL,49.34872226
LTU,Lithuania,2002,both,ALL,47.57503886
RUS,Russia,2004,both,ALL,47.43951464
LTU,Lithuania,2001,both,ALL,47.38599501
LTU,Lithuania,2003,both,ALL,45.70270158
RUS,Russia,2005,both,ALL,45.16575794
LTU,Lithuania,2004,both,ALL,43.82399412
LTU,Lithuania,2005,both,ALL,43.21129813
RUS,Russia,2006,both,ALL,41.43819807
LTU,Lithuania,2013,both,ALL,40.76935837
BLR,Belarus,2005,both,ALL,40.51841024
BLR,Belarus,2004,both,ALL,40.36922657
BLR,Belarus,2002,both,ALL,40.31967399
BLR,Belarus,2003,both,ALL,40.28690829
RUS,Russia,2007,both,ALL,39.63374718
BLR,Belarus,2000,both,ALL,39.50342102
BLR,Belarus,2001,both,ALL,39.31090762
LTU,Lithuania,2009,both,ALL,39.2570263
LKA,Sri Lanka,2000,both,ALL,38.89827736
RUS,Russia,2008,both,ALL,38.389221
LTU,Lithuania,2011,both,ALL,38.31855879
LTU,Lithuania,2008,both,ALL,38.1583482
BLR,Belarus,2006,both,ALL,37.47522606
LTU,Lithuania,2010,both,ALL,37.47441273
KAZ,Kazakhstan,2004,both,ALL,37.1555198
RUS,Russia,2009,both,ALL,36.84132555
BLR,Belarus,2009,both,ALL,36.3746584
BLR,Belarus,2008,both,ALL,36.28928921
UKR,Ukraine,2000,both,ALL,36.06380019
KAZ,Kazakhstan,2005,both,ALL,36.01420753
RUS,Russia,2010,both,ALL,35.78192889
LTU,Lithuania,2014,both,ALL,35.50723395
KOR,South Korea,2011,both,ALL,35.49158428
LTU,Lithuania,2006,both,ALL,35.4033123
KOR,South Korea,2009,both,ALL,35.11738633
LTU,Lithuania,2012,both,ALL,35.08014754
KOR,South Korea,2010,both,ALL,34.91558595
LVA,Latvia,2000,both,ALL,34.82475458
KAZ,Kazakhstan,2003,both,ALL,34.8189894
KAZ,Kazakhstan,2007,both,ALL,34.78676295
KAZ,Kazakhstan,2006,both,ALL,34.75990432
RUS,Russia,2011,both,ALL,34.613557
LTU,Lithuania,2007,both,ALL,34.50851708
LTU,Lithuania,2015,both,ALL,34.49336085
BLR,Belarus,2011,both,ALL,34.48311049
GUY,Guyana,2016,both,ALL,34.2503725
BLR,Belarus,2010,both,ALL,34.1643475
BLR,Belarus,2007,both,ALL,34.04987509
KAZ,Kazakhstan,2001,both,ALL,33.80270529
LKA,Sri Lanka,2001,both,ALL,33.75725523
GUY,Guyana,2014,both,ALL,33.63714255
RUS,Russia,2012,both,ALL,33.60477165
KAZ,Kazakhstan,2000,both,ALL,33.38663649
LSO,Lesotho,2020,both,ALL,33.37877087
UKR,Ukraine,2001,both,ALL,33.33293657
GUY,Guyana,2013,both,ALL,33.31514436
HUN,Hungary,2000,both,ALL,33.25954648
GUY,Guyana,2015,both,ALL,33.2426946
KAZ,Kazakhstan,2002,both,ALL,33.1075365
RUS,Russia,2013,both,ALL,32.83411552
RUS,Russia,2014,both,ALL,32.61443006
UKR,Ukraine,2002,both,ALL,32.48522174
LTU,Lithuania,2016,both,ALL,32.33962905
LVA,Latvia,2001,both,ALL,32.29327864
KAZ,Kazakhstan,2008,both,ALL,32.25034131
GUY,Guyana,2017,both,ALL,32.01390371
SVN,Slovenia,2000,both,ALL,31.93392832
LVA,Latvia,2002,both,ALL,31.60169213
UKR,Ukraine,2003,both,ALL,31.25677326
KOR,South Korea,2013,both,ALL,31.20710049
RUS,Russia,2015,both,ALL,31.12448445
KOR,South Korea,2012,both,ALL,31.01331104
GUY,Guyana,2012,both,ALL,30.78424625
UKR,Ukraine,2005,both,ALL,30.66803576
SVN,Slovenia,2001,both,ALL,30.65137016
RUS,Russia,2016,both,ALL,30.19818305
EST,Estonia,2001,both,ALL,30.18285397
LKA,Sri Lanka,2002,both,ALL,29.95270057
SWZ,Eswatini,2018,both,ALL,29.85370241
UKR,Ukraine,2004,both,ALL,29.78367686
GUY,Guyana,2001,both,ALL,29.74204701
HUN,Hungary,2001,both,ALL,29.70374868
SVN,Slovenia,2003,both,ALL,29.65234087
GUY,Guyana,2020,both,ALL,29.53009482
LTU,Lithuania,2017,both,ALL,29.52677923
LVA,Latvia,2003,both,ALL,29.36921973
KOR,South Korea,2014,both,ALL,29.35106607
KOR,South Korea,2008,both,ALL,29.28994031
EST,Estonia,2000,both,ALL,29.27198756
GUY,Guyana,2011,both,ALL,29.10793474
SVN,Slovenia,2002,both,ALL,29.101681
UKR,Ukraine,2007,both,ALL,29.0797538
GUY,Guyana,2018,both,ALL,29.04904032
GUY,Guyana,2002,both,ALL,29.03841529
SWZ,Eswatini,2017,both,ALL,28.86874017
KAZ,Kazakhstan,2009,both,ALL,28.79661604
GUY,Guyana,2003,both,ALL,28.77535051
LSO,Lesotho,2019,both,ALL,28.76971012
GUY,Guyana,2010,both,ALL,28.7676434
UKR,Ukraine,2006,both,ALL,28.6863509
LSO,Lesotho,2021,both,ALL,28.66132363
SVN,Slovenia,2004,both,ALL,28.56947941
HUN,Hungary,2002,both,ALL,28.52005489
BLR,Belarus,2012,both,ALL,28.4946218
SUR,Suriname,2020,both,ALL,28.46850632
GUY,Guyana,2009,both,ALL,28.46453973
KOR,South Korea,2019,both,ALL,28.44275616
UKR,Ukraine,2008,both,ALL,28.40204167
KOR,South Korea,2018,both,ALL,28.28214094
KOR,South Korea,2015,both,ALL,28.22538253
SVN,Slovenia,2006,both,ALL,28.21369883
EST,Estonia,2002,both,ALL,28.20871585
LKA,Sri Lanka,2003,both,ALL,28.19049805
SWZ,Eswatini,2019,both,ALL,28.12620892
KAZ,Kazakhstan,2010,both,ALL,28.053066
HUN,Hungary,2003,both,ALL,27.99244772
LSO,Lesotho,2014,both,ALL,27.95615532
LSO,Lesotho,2018,both,ALL,27.88441014
LSO,Lesotho,2015,both,ALL,27.87277039
SWZ,Eswatini,2010,both,ALL,27.77100587
GUY,Guyana,2019,both,ALL,27.63677919
KOR,South Korea,2005,both,ALL,27.57839507
KOR,South Korea,2007,both,ALL,27.55385231
KOR,South Korea,2021,both,ALL,27.52969953
HUN,Hungary,2004,both,ALL,27.45538281
GUY,Guyana,2004,both,ALL,27.42772058
LTU,Lithuania,2018,both,ALL,27.40435436
LSO,Lesotho,2011,both,ALL,27.34051554
RUS,Russia,2017,both,ALL,27.29849204
SWZ,Eswatini,2021,both,ALL,27.22723538
KOR,South Korea,2020,both,ALL,27.15565326
KOR,South Korea,2016,both,ALL,27.05890513
LVA,Latvia,2004,both,ALL,26.96056698
SVN,Slovenia,2005,both,ALL,26.94539362
GUY,Guyana,2006,both,ALL,26.93126303
GUY,Guyana,2007,both,ALL,26.8738789
GUY,Guyana,2000,both,ALL,26.73651841
LSO,Lesotho,2016,both,ALL,26.72669162
LVA,Latvia,2005,both,ALL,26.72267713
GUY,Guyana,2005,both,ALL,26.71511636
KAZ,Kazakhstan,2011,both,ALL,26.57325099
EST,Estonia,2003,both,ALL,26.5524958
LVA,Latvia,2008,both,ALL,26.53946635
SUR,Suriname,2018,both,ALL,26.49866083
SUR,Suriname,2016,both,ALL,26.47199066
LVA,Latvia,2009,both,ALL,26.42033449
HUN,Hungary,2005,both,ALL,26.35010859
LTU,Lithuania,2019,both,ALL,26.32801861
SUR,Suriname,2019,both,ALL,26.32406655
GUY,Guyana,2008,both,ALL,26.29669342
KOR,South Korea,2004,both,ALL,26.209254
SUR,Suriname,2015,both,ALL,26.12608201
LSO,Lesotho,2017,both,ALL,26.06679356
UKR,Ukraine,2009,both,ALL,26.02402674
LSO,Lesotho,2010,both,ALL,25.99457437
RUS,Russia,2018,both,ALL,25.89873879
SUR,Suriname,2017,both,ALL,25.85169954
SWZ,Eswatini,2016,both,ALL,25.83757144
JPN,Japan,2003,both,ALL,25.80501799
KOR,South Korea,2017,both,ALL,25.60602713
HUN,Hungary,2010,both,ALL,25.55877725
EST,Estonia,2004,both,ALL,25.54670368
BLR,Belarus,2013,both,ALL,25.51475674
UKR,Ukraine,2014,both,ALL,25.49807492
LKA,Sri Lanka,2005,both,ALL,25.40251213
HUN,Hungary,2008,both,ALL,25.3442548
KAZ,Kazakhstan,2012,both,ALL,25.34302056
HUN,Hungary,2009,both,ALL,25.29546285
HUN,Hungary,2011,both,ALL,25.23175839
JPN,Japan,2007,both,ALL,25.18944431
LKA,Sri Lanka,2004,both,ALL,25.17737544
JPN,Japan,2009,both,ALL,25.12401676
HUN,Hungary,2012,both,ALL,25.03962408
